,precision,recall,f1-score,support
Yes,0.8762886597938144,0.8810975609756098,0.8786865308604439,1640.0
No,0.8534031413612565,0.8591867469879518,0.8562851782363978,1328.0
"In the middle, neither yes nor no",0.4098360655737705,0.3125,0.35460992907801425,80.0
"Yes, subject to some conditions",0.9066147859922179,0.8961538461538462,0.9013539651837524,260.0
Other,0.8260869565217391,0.9047619047619048,0.8636363636363636,42.0
accuracy,,,0.8602985074626865,3350.0
macro avg,0.7744459218485598,0.7707400117758625,0.7709143933989944,3350.0
weighted avg,0.857801538975342,0.8602985074626865,0.8588615462256146,3350.0
