,precision,recall,f1-score,support
Yes,0.7906574394463668,0.8359756097560975,0.8126852400711321,1640.0
No,0.7782012195121951,0.7688253012048193,0.7734848484848486,1328.0
"In the middle, neither yes nor no",0.3076923076923077,0.15,0.20168067226890757,80.0
"Yes, subject to some conditions",0.8914728682170543,0.8846153846153846,0.888030888030888,260.0
Other,0.0,0.0,0.0,42.0
accuracy,,,0.7862686567164179,3350.0
macro avg,0.5536047669735848,0.5278832591152602,0.5351763297711553,3350.0
weighted avg,0.7720978359868823,0.7862686567164179,0.7782131812459937,3350.0
