,precision,recall,f1-score,support
Yes,0.56,0.725609756097561,0.6321381142098274,1640.0
No,0.5694864048338368,0.2838855421686747,0.37889447236180906,1328.0
"In the middle, neither yes nor no",0.07346938775510205,0.225,0.11076923076923076,80.0
"Yes, subject to some conditions",0.1794871794871795,0.18846153846153846,0.18386491557223264,260.0
Other,0.8444444444444444,0.9047619047619048,0.8735632183908046,42.0
accuracy,,,0.4991044776119403,3350.0
macro avg,0.4453774833041126,0.46554374829793577,0.43584599026078086,3350.0
weighted avg,0.526175770141217,0.4991044776119403,0.48753266814427815,3350.0
